,scores
222,-76.72788171046822
223,-67.47948178627627
224,-38.02112956342863
225,-93.89199472623808
226,-108.93252646284951
227,-46.424266670765405
228,-109.68270567156783
229,-51.60909588521469
230,-18.065863316215324
231,-83.96520231421259
232,-0.007354284789636623
233,-22.735518217985966
234,-72.87592047992571
235,-56.20015070350665
236,-6.916063472948351
237,-81.5723758152146
238,-105.290941615442
239,-48.25359644467212
240,-34.582113616936475
241,-260.2739731220313
242,-95.39662407905531
243,-116.74747011777383
244,-85.56717290362168
245,-30.62713889872367
246,-97.69406589704658
247,-37.18451294429491
248,-73.86005303753569
249,-15.61663035669775
250,-164.7096375328531
251,-24.279846792276093
252,-132.98892095253524
253,-19.099258962150863
254,-28.495067823958703
255,-66.32876601520297
256,12.471193093217732
257,-16.068063661278508
258,-10.81861626827976
259,-17.43993488387843
260,-34.80816167205562
261,-47.52766297406349
262,-64.82817365626349
263,-124.48444351680129
264,-55.62316073244534
265,-22.603076540560924
266,-48.82025996450388
267,9.242938202879124
268,45.18866526363428
269,-18.03192099763579
270,-44.166213951731535
271,6.321166827926852
272,-65.37679829406376
273,3.0759642731144607
274,12.319474147587048
275,-122.25841932733617
276,22.520291809486892
277,23.917561815068957
278,-35.97952137187292
279,11.431532715396266
280,-59.54596948778047
281,-92.61955715059614
282,-105.17938321354043
283,-153.14649079205267
284,10.123077094375972
285,-67.45159765686454
286,10.266010883065434
287,-113.72781954190368
288,-10.368511983952345
289,-26.71361490236501
290,-80.39525183694415
291,-137.18413174147034
292,-4.795735069479036
293,-106.79616318760701
294,-144.0802957270285
295,-40.865953221694035
296,-45.78414127642546
297,-121.9423569095938
298,-85.16649698599562
299,-37.977095306860214
300,15.666019149558242
301,-106.40472705460654
302,-12.022216512909969
303,28.3887070681331
304,-208.86150421493744
305,-50.302279669083646
306,9.657360057753579
307,-61.43038766900301
308,-288.0511193286758
309,31.907707037972113
310,19.704910123394697
311,-7.3163498964822935
312,25.599805347765084
313,-55.41161373491023
314,-6.386441503594156
315,-5.076643997928098
316,-23.041143575445897
317,1.1517552380851626
318,-78.16284963444188
319,-76.60977295807554
320,52.99341274187606
321,-11.876751494812792
322,-61.98890227530241
323,-59.72193322223838
324,7.890925505264136
325,-4.338361398233204
326,-50.930479058000756
327,-24.74916787787592
328,-34.88668354813586
329,-15.109539828663372
330,-46.270458089769434
331,18.56150502153482
332,220.11844028070075
333,-26.819302624721857
334,-55.58184888116071
335,11.403656388702643
336,227.24415129035444
337,-86.86729252514577
338,-43.2169686151353
339,-67.17973129510834
340,201.4178396414594
341,16.844091258553092
342,-2.5713789224355112
343,183.80421089755683
344,42.53628362802266
345,-0.7673199508346329
346,-19.3688007182124
347,-17.120218138903127
348,-44.73559147789555
349,221.54727973379633
350,258.83417054266204
351,187.7698157371406
352,-9.584537527748457
353,-197.9501947411024
354,-48.104034333868704
355,-41.38814185275804
356,78.79374666583716
357,-42.358050714173764
358,-31.04301809315883
359,-23.078301377079725
360,47.36959684782619
361,263.8313860690533
362,17.195735074106295
363,-13.152481730461457
364,-7.849855891990913
365,-6.918734191060618
366,-26.433787343704523
367,235.86109352001588
368,42.97787569207546
369,-13.485475581084966
370,-20.66249539204231
371,-3.1707008977907227
372,-40.53118407567422
373,9.650635092054486
374,-11.169858475916142
375,31.828464240876748
376,-27.567103418197647
377,205.56865667377886
378,-254.01522639417948
379,-440.3930891498446
380,-7.854367969363906
381,20.565687628385717
382,28.71226393766605
383,-35.67536262883194
384,-16.149286945789896
385,0.04829556209409702
386,-9.043596885352699
387,12.95985038053017
388,145.1028291278372
389,142.26970484499648
390,-70.35115378022797
391,-32.93656173050871
392,-66.10918412909399
393,-46.1064394191199
394,220.06370117502703
395,-54.77412284010061
396,-227.53551085841377
397,29.760520096378627
398,186.57373740322078
399,-205.8328775247586
400,250.1614912943819
401,214.01610019349056
402,186.90817549911657
403,-6.793884413190051
404,221.91015303808757
405,-43.875021834370855
406,148.97173252622508
407,6.200690936657743
408,154.23215926382426
409,153.7997494556607
410,-18.76580954093787
411,171.26110520587477
412,205.02865116982565
413,214.08629425538294
414,-48.82471224416801
415,74.05415645571986
416,-35.88564906169232
417,177.02728198368538
418,211.77741348701088
419,49.16715876590815
420,187.60284960428942
421,231.3812369842222
422,201.5205572235738
423,131.72803830305693
424,247.63672938639942
425,284.4568850635514
426,-8.698953448076878
427,16.340001307842996
428,201.2757062013422
429,237.16749106538694
430,254.56342033368625
431,284.6694392833788
432,-3.614074588836293
433,27.526171875729688
434,154.21837500326438
435,200.02165569306118
436,221.2797274656259
437,6.464524255900699
438,-11.545995554914029
439,-154.25265017966925
440,255.5205382990404
441,178.94450807414137
442,12.872728471611794
443,-15.127597577482915
444,189.63879654386977
445,-46.43105173134572
446,-49.1152821116981
447,216.461811648859
448,153.26704783992128
449,162.5927456353886
450,98.97288744727267
451,54.27033529615409
452,-19.880875378487595
453,252.2118571495462
454,243.38023569761833
455,-110.58489269843363
456,252.62935828094777
457,-108.74581816352722
458,258.36958157908725
459,222.59523781125313
460,-44.59376631956336
461,-65.24061421685919
462,172.6939487712184
463,175.60802946111954
464,193.95913954021688
465,193.004212112169
466,-153.1249885109852
467,256.1317906197929
468,256.28041059637854
469,181.50553322226725
470,164.02402410622602
471,222.10912132089092
472,301.7015898518885
473,193.97106498005525
474,223.9822181894795
475,271.06163757209754
476,78.74213175528385
477,-64.66432326440462
478,86.1348967510057
479,-113.19304006432625
480,258.33318681178037
481,237.7903102845004
482,164.08292618776645
483,238.09744869719322
484,261.42001529468985
485,121.05753590518492
486,282.4665226065295
487,95.50489916457916
488,269.3039122440013
489,-295.23976001116364
490,237.94747179350674
491,254.18894838650274
492,93.05182545620652
493,-104.42883012276297
494,-114.6674908166624
495,237.2242288682354
496,208.1210045865885
497,257.5324098694108
498,132.30343910320806
499,-59.68777782353605
