,0
0,2232.0
1,2062.0
2,2293.0
3,2200.0
4,1953.0
5,2127.0
6,2146.0
7,2238.0
8,2354.0
9,2314.0
10,1892.0
11,2122.0
12,2246.0
13,1757.0
14,1823.0
15,1549.0
16,1913.0
17,1631.0
18,1845.0
19,1679.0
20,1808.0
21,1543.0
22,1491.0
23,1597.0
24,1663.0
25,1681.0
26,1476.0
27,2911.0
28,1358.0
29,1544.0
30,1418.0
31,1424.0
32,1420.0
33,3380.0
34,3850.0
35,1389.0
36,3521.0
37,1321.0
38,2083.0
39,1209.0
40,3017.0
41,1212.0
42,1318.0
43,1885.0
44,1810.0
45,1231.0
46,1344.0
47,1242.0
48,2551.0
49,2361.0
50,1277.0
51,1160.0
52,1116.0
53,2450.0
54,2384.0
55,1175.0
56,1250.0
57,4101.0
58,1085.0
59,4190.0
60,1149.0
61,1122.0
62,1292.0
63,2609.0
64,4499.0
65,1077.0
66,1072.0
67,1126.0
68,2038.0
69,1795.0
70,2210.0
71,1070.0
72,1053.0
73,1063.0
74,1307.0
75,2146.0
76,1054.0
77,2594.0
78,1091.0
79,1483.0
80,1076.0
81,1193.0
82,1031.0
83,2535.0
84,1039.0
85,3424.0
86,3055.0
87,1072.0
88,2578.0
89,1024.0
90,1008.0
91,3257.0
92,1060.0
93,4069.0
94,1113.0
95,4772.0
96,1020.0
97,4412.0
98,1352.0
99,975.0
100,4004.0
101,1025.0
102,2185.0
103,2441.0
104,1024.0
105,993.0
106,1111.0
107,988.0
108,994.0
109,2772.0
110,3936.0
111,1006.0
112,1690.0
113,974.0
114,1938.0
115,996.0
116,1440.0
117,987.0
118,3929.0
119,1070.0
120,3532.0
121,983.0
122,2057.0
123,1011.0
124,3004.0
125,1213.0
126,991.0
127,4024.0
128,911.0
129,3014.0
130,982.0
131,970.0
132,983.0
133,3026.0
134,971.0
135,985.0
136,2741.0
137,3966.0
138,900.0
139,4451.0
140,1116.0
141,1809.0
142,1218.0
143,3181.0
144,979.0
145,2186.0
146,1144.0
147,957.0
148,962.0
149,2972.0
150,1001.0
151,3993.0
152,981.0
153,3138.0
154,1891.0
155,978.0
156,4229.0
157,4007.0
158,1365.0
159,3909.0
160,3362.0
161,919.0
162,3900.0
163,3387.0
164,919.0
165,3106.0
166,1151.0
167,2446.0
168,1172.0
169,950.0
170,2854.0
171,3691.0
172,2949.0
173,3033.0
174,1289.0
175,956.0
176,3321.0
177,972.0
178,2758.0
179,956.0
180,934.0
181,2309.0
182,1307.0
183,2416.0
184,951.0
185,2294.0
186,951.0
187,3199.0
188,930.0
189,958.0
190,1991.0
191,3116.0
192,2272.0
193,938.0
194,1624.0
195,3822.0
196,1666.0
197,1973.0
198,949.0
199,1066.0
200,1360.0
201,933.0
202,3435.0
203,1001.0
204,3990.0
205,1197.0
206,944.0
207,1579.0
208,4267.0
209,2146.0
210,3757.0
211,1025.0
212,4031.0
213,935.0
214,3684.0
215,2525.0
216,1000.0
217,1467.0
218,933.0
219,1970.0
220,1355.0
221,941.0
222,3339.0
223,990.0
224,1958.0
225,1306.0
226,1223.0
227,4490.0
228,3294.0
229,930.0
230,2240.0
231,936.0
232,956.0
233,4443.0
234,943.0
235,3768.0
236,965.0
237,2266.0
238,1093.0
239,3249.0
240,3439.0
241,981.0
242,2194.0
243,926.0
244,1232.0
245,3246.0
246,1196.0
247,931.0
248,954.0
249,4586.0
250,3565.0
251,3045.0
252,947.0
253,2894.0
254,930.0
255,1898.0
256,1577.0
257,933.0
258,984.0
259,3685.0
260,1059.0
261,1270.0
262,3192.0
263,959.0
264,2424.0
265,1322.0
266,2920.0
267,948.0
268,1651.0
269,1942.0
270,947.0
271,2842.0
272,2236.0
273,1595.0
274,1194.0
275,931.0
276,1599.0
277,2132.0
278,945.0
279,3304.0
280,1028.0
281,944.0
282,916.0
283,4317.0
284,1465.0
285,2887.0
286,904.0
287,4194.0
288,951.0
289,3846.0
290,2866.0
291,3008.0
292,3587.0
293,979.0
294,1339.0
295,961.0
296,2464.0
297,3980.0
298,983.0
299,3719.0
300,3773.0
301,939.0
302,2281.0
303,941.0
304,2626.0
305,940.0
306,1334.0
307,997.0
308,953.0
309,4042.0
310,3665.0
311,2604.0
312,3326.0
313,948.0
314,957.0
315,903.0
316,4377.0
317,941.0
318,2436.0
319,1782.0
320,1026.0
321,2464.0
322,1125.0
323,1261.0
324,932.0
325,3745.0
326,1590.0
327,1836.0
328,941.0
329,2152.0
330,2125.0
331,4389.0
332,1951.0
333,966.0
334,2691.0
335,877.0
336,4519.0
337,2413.0
338,2696.0
339,1038.0
340,992.0
341,1516.0
342,982.0
343,3420.0
344,944.0
345,930.0
346,3247.0
347,3224.0
