,0
0,2298.0
1,2211.0
2,2149.0
3,2309.0
4,2229.0
5,2100.0
6,2045.0
7,2116.0
8,2043.0
9,2298.0
10,2065.0
11,2169.0
12,2299.0
13,2192.0
14,2121.0
15,2036.0
16,2167.0
17,2128.0
18,2042.0
19,2063.0
20,2033.0
21,2120.0
22,1994.0
23,2860.0
24,2461.0
25,2680.0
26,2625.0
27,2119.0
28,2158.0
29,1712.0
30,1877.0
31,2146.0
32,1832.0
33,2327.0
34,2479.0
35,2565.0
36,2754.0
37,3214.0
38,3118.0
39,3059.0
40,3307.0
41,3685.0
42,4189.0
43,3883.0
44,3713.0
45,4315.0
46,4202.0
47,5065.0
48,2458.0
49,1850.0
50,1875.0
51,2866.0
52,3554.0
53,3264.0
54,4477.0
55,5876.0
56,3252.0
57,2806.0
58,2339.0
59,6897.0
60,4672.0
61,2826.0
62,1852.0
63,6220.0
64,3540.0
65,7717.0
66,3862.0
67,9525.0
68,4291.0
69,8464.0
70,6160.0
71,8096.0
72,5576.0
73,9013.0
74,1889.0
75,8644.0
76,2205.0
77,2735.0
78,1531.0
79,3530.0
80,1986.0
81,1265.0
82,1344.0
83,4472.0
84,2777.0
85,3751.0
86,2935.0
87,4333.0
88,3908.0
89,7960.0
90,4026.0
91,5109.0
92,5518.0
93,8035.0
94,6396.0
95,8851.0
96,7145.0
97,8069.0
98,7841.0
99,9072.0
100,6604.0
101,7229.0
102,4754.0
103,5215.0
104,2854.0
105,6670.0
106,5099.0
107,5975.0
108,6317.0
109,9248.0
110,3979.0
111,4972.0
112,2630.0
113,1367.0
114,1548.0
115,2228.0
116,4615.0
117,6728.0
118,8856.0
119,11531.0
120,6026.0
121,6239.0
122,1824.0
123,5865.0
124,1195.0
125,3106.0
126,2787.0
127,9502.0
128,5122.0
129,1480.0
130,1554.0
131,10239.0
132,2804.0
133,2022.0
134,1140.0
135,4634.0
136,7177.0
137,12053.0
138,1345.0
139,1910.0
140,1417.0
141,6231.0
142,1084.0
143,1543.0
144,1521.0
145,11238.0
146,1914.0
147,1967.0
148,1511.0
149,10841.0
150,1856.0
151,9684.0
152,13855.0
153,15134.0
154,1937.0
155,1021.0
156,1068.0
157,6889.0
158,1587.0
159,8880.0
160,4801.0
161,1048.0
162,1057.0
163,1244.0
164,7446.0
165,2104.0
166,4891.0
167,7112.0
168,1337.0
169,14606.0
170,2707.0
171,5178.0
172,2929.0
173,6987.0
174,3159.0
175,4460.0
176,6486.0
177,3777.0
178,5817.0
179,1016.0
180,1003.0
181,5831.0
182,2275.0
183,1010.0
184,1027.0
185,1006.0
186,1012.0
187,1152.0
188,1280.0
189,18531.0
190,1150.0
191,8151.0
192,2237.0
193,8945.0
194,8182.0
195,15059.0
196,3644.0
197,4170.0
198,1744.0
199,3178.0
200,1385.0
201,1018.0
202,1166.0
203,1997.0
204,3638.0
205,9473.0
206,11895.0
207,13416.0
208,14314.0
209,12882.0
210,5456.0
211,9237.0
212,18579.0
213,973.0
214,11738.0
215,13840.0
216,16873.0
217,18605.0
218,17501.0
219,18665.0
220,19173.0
221,18810.0
222,18137.0
223,19956.0
224,19224.0
225,15037.0
226,20000.0
227,15062.0
228,955.0
229,6452.0
230,8139.0
231,19825.0
232,19976.0
233,19832.0
234,19426.0
235,12481.0
236,19756.0
237,17766.0
238,19616.0
239,19791.0
240,17038.0
241,3870.0
242,959.0
243,11202.0
244,10827.0
245,15850.0
246,19450.0
247,18348.0
248,19553.0
249,20000.0
250,19846.0
251,11559.0
252,19372.0
253,18582.0
254,14853.0
255,15915.0
256,16566.0
257,15522.0
258,14544.0
259,14907.0
260,14942.0
261,15953.0
262,13386.0
263,16736.0
264,19232.0
265,19869.0
266,19811.0
267,19862.0
268,17656.0
269,20000.0
270,20000.0
271,20000.0
272,19983.0
273,20000.0
274,20000.0
275,19640.0
276,18561.0
277,19997.0
278,19913.0
279,18648.0
280,19705.0
281,9595.0
282,11253.0
283,19508.0
284,19820.0
285,1206.0
286,19302.0
287,12462.0
288,1278.0
289,13742.0
290,17650.0
291,19989.0
292,19458.0
293,19963.0
294,20000.0
295,11454.0
296,19979.0
297,20000.0
298,1164.0
299,19595.0
300,20000.0
301,20000.0
302,20000.0
303,945.0
304,20000.0
305,1169.0
306,7992.0
307,19334.0
308,948.0
309,15577.0
310,18268.0
311,13519.0
312,10003.0
313,13151.0
314,12237.0
315,10685.0
316,14477.0
317,15504.0
318,14827.0
319,15633.0
320,16936.0
321,15599.0
322,15966.0
323,16953.0
324,15522.0
325,16696.0
326,16359.0
327,18485.0
328,19475.0
329,19124.0
330,17979.0
331,19332.0
332,19918.0
333,19897.0
334,19983.0
335,19596.0
336,17596.0
337,20000.0
338,19857.0
339,20000.0
340,10722.0
341,6349.0
342,11683.0
343,18402.0
344,19083.0
345,20000.0
346,9092.0
347,20000.0
348,9625.0
349,954.0
350,1313.0
351,5285.0
352,6555.0
353,19816.0
354,20000.0
355,19079.0
356,4442.0
357,2660.0
358,19816.0
359,12068.0
360,4456.0
361,19535.0
362,5379.0
363,12069.0
364,14678.0
365,14872.0
366,14442.0
367,13782.0
368,14647.0
369,14900.0
370,15150.0
371,16061.0
372,15929.0
373,15968.0
374,16267.0
375,18583.0
376,17637.0
377,17896.0
378,19432.0
379,19996.0
380,19997.0
381,19940.0
382,18897.0
383,18559.0
384,19619.0
385,19177.0
386,19332.0
387,19830.0
388,20000.0
389,18165.0
390,18724.0
391,20000.0
392,19849.0
393,19971.0
394,19681.0
395,20000.0
396,19868.0
397,19311.0
398,20000.0
399,19966.0
400,20000.0
401,20000.0
402,16842.0
403,1090.0
404,1424.0
405,17625.0
406,3754.0
407,8840.0
408,15867.0
409,17507.0
410,19549.0
411,18516.0
412,18094.0
413,18104.0
414,19352.0
415,19789.0
416,19742.0
417,19794.0
418,16985.0
419,19426.0
420,15657.0
421,18116.0
422,20000.0
423,20000.0
424,20000.0
425,19997.0
426,19770.0
427,20000.0
428,20000.0
429,4980.0
430,949.0
431,975.0
432,1224.0
433,4851.0
434,11126.0
435,11716.0
436,11996.0
437,13048.0
438,12744.0
439,13210.0
440,13179.0
441,13002.0
442,13695.0
443,13993.0
444,15208.0
445,15125.0
446,14066.0
447,15072.0
448,15483.0
449,15263.0
450,18033.0
451,17451.0
452,19909.0
453,19900.0
454,18950.0
455,20000.0
456,20000.0
457,13411.0
458,3618.0
459,1800.0
460,2152.0
461,16231.0
462,18623.0
463,13290.0
464,19335.0
465,12786.0
466,19816.0
467,20000.0
468,20000.0
469,20000.0
470,20000.0
471,9517.0
472,948.0
473,7009.0
474,12468.0
475,12556.0
476,12717.0
477,13467.0
478,14428.0
479,14626.0
480,15439.0
481,15284.0
482,14713.0
483,14411.0
484,16311.0
485,19255.0
486,19262.0
487,20000.0
488,17411.0
489,20000.0
490,20000.0
491,10791.0
492,12939.0
493,18165.0
494,20000.0
495,20000.0
496,20000.0
497,2417.0
498,12802.0
499,19977.0
500,18662.0
501,20000.0
502,12501.0
503,20000.0
504,20000.0
505,20000.0
506,20000.0
507,20000.0
508,20000.0
509,5807.0
510,12247.0
511,13108.0
512,13858.0
513,13505.0
514,13254.0
515,11288.0
516,11122.0
517,12369.0
518,11972.0
519,15081.0
520,16282.0
521,16235.0
522,16656.0
523,16254.0
524,15957.0
525,18248.0
526,15831.0
527,15821.0
528,14239.0
529,17990.0
530,13615.0
531,16271.0
532,15440.0
533,13080.0
534,10695.0
535,7007.0
536,2274.0
537,6252.0
538,20000.0
539,12319.0
540,3775.0
541,3851.0
542,938.0
543,18104.0
544,10399.0
545,17910.0
546,19596.0
547,18357.0
548,18594.0
549,18990.0
550,19518.0
551,19084.0
552,17991.0
553,19680.0
554,16909.0
555,19956.0
556,19574.0
557,16632.0
558,19809.0
559,20000.0
560,20000.0
561,20000.0
562,20000.0
563,20000.0
564,20000.0
565,20000.0
566,19486.0
567,1610.0
568,19959.0
569,20000.0
570,20000.0
